enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,is_major_city
19146,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.1,3,Unknown,1,0,1
29339,city_67,0.24004586575076048,Male,1,no_enrollment,4,STEM,0.7,3,Pvt Ltd,never,-1,0
33177,city_16,0.6798889241982279,Male,1,no_enrollment,3,STEM,0.1,3,Pvt Ltd,1,0,1
22143,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,1.5,7,Pvt Ltd,1,0,1
22264,city_160,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,-0.,0,Unknown,1,0,1
17034,city_103,0.7598603893704947,Unknow,1,Full time course,3,STEM,-0.,8,Other,never,0,1
27002,city_21,-1.607294979728601,Male,1,Full time course,3,STEM,-0.,3,Pvt Ltd,>4,0,0
21318,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,6,Pvt Ltd,1,0,1
12308,city_143,-0.6796259837303069,Unknow,0,no_enrollment,3,STEM,-0.,6,Public Sector,>4,0,0
842,city_21,-1.607294979728601,Male,0,Full time course,3,STEM,-0.,0,Unknown,1,0,0
4926,city_103,0.7598603893704947,Male,0,no_enrollment,2,Unknown,-1.,0,Unknown,never,0,1
3,city_99,0.7198746567843612,Unknow,0,Full time course,2,Unknown,-0.,0,Pvt Ltd,never,0,1
19567,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,0.2,6,Pvt Ltd,1,0,0
12809,city_61,0.703880363749907,Male,1,no_enrollment,2,Unknown,-1.,4,Pvt Ltd,1,0,1
22682,city_71,0.4719631147503342,Male,0,no_enrollment,4,STEM,-1.,6,Pvt Ltd,1,2,0
1216,city_173,0.4239802356469741,Male,1,no_enrollment,4,STEM,1.5,6,Pvt Ltd,2,0,0
4417,city_103,0.7598603893704947,Unknow,0,no_enrollment,0,Unknown,-0.,0,Unknown,,0,1
24162,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,1,Pvt Ltd,1,0,0
16873,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,1.5,7,Pvt Ltd,>4,0,1
21920,city_16,0.6798889241982279,Female,0,no_enrollment,5,STEM,1.2,6,NGO,1,0,1
24230,city_21,-1.607294979728601,Unknow,1,Full time course,4,No Major,-1.,1,Early Stage Startup,,0,0
5189,city_16,0.6798889241982279,Unknow,0,no_enrollment,2,Unknown,-1.,0,Unknown,1,0,1
24396,city_70,-1.0155061374538275,Male,1,no_enrollment,3,STEM,1.1,4,Pvt Ltd,2,0,0
770,city_73,-0.5676659324891333,Male,1,no_enrollment,4,STEM,1.5,3,Pvt Ltd,1,0,0
30913,city_103,0.7598603893704947,Male,0,no_enrollment,3,STEM,1.5,1,Pvt Ltd,>4,0,1
14566,city_69,0.24804301226798714,Female,1,Part time course,3,STEM,-0.,5,Pvt Ltd,1,1,0
15634,city_61,0.703880363749907,Male,1,no_enrollment,3,No Major,0.1,4,Pvt Ltd,>4,0,1
18163,city_64,-1.2714148260050813,Unknow,1,no_enrollment,2,Unknown,-1.,0,Unknown,never,1,0
16673,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,0,Unknown,1,-1,0
18805,city_16,0.6798889241982279,Male,0,no_enrollment,5,Humanities,1.5,0,Unknown,>4,0,1
15367,city_103,0.7598603893704947,Male,0,Full time course,3,STEM,-1.,0,Unknown,1,0,1
22556,city_21,-1.607294979728601,Male,1,Full time course,3,STEM,-0.,0,Funded Startup,1,0,0
27439,city_100,0.49595455430201424,Male,1,Part time course,3,STEM,0.7,0,Unknown,1,0,0
18426,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,1,0,0
9789,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,-1,1
28172,city_114,0.8078432684738539,Unknow,1,no_enrollment,4,STEM,1.5,4,Pvt Ltd,>4,1,1
9184,city_136,0.575926019474281,Male,1,Part time course,4,STEM,-1.,8,Pvt Ltd,1,0,0
3587,city_16,0.6798889241982279,Male,1,no_enrollment,4,Humanities,-0.,0,Pvt Ltd,4,0,1
1167,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,0.7,4,Pvt Ltd,4,0,1
1663,city_134,-1.0155061374538275,Unknow,1,Part time course,4,STEM,1.5,0,Unknown,>4,0,0
20948,city_44,-0.7995831814887071,Unknow,1,no_enrollment,4,STEM,-0.,0,Unknown,,0,0
31594,city_41,0.016125763268414313,Male,1,no_enrollment,4,STEM,1.5,3,Funded Startup,>4,1,0
27117,city_90,-1.0155061374538275,Male,0,Full time course,3,STEM,-1.,0,Unknown,never,0,0
678,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,1,0,1
1441,city_103,0.7598603893704947,Male,0,Full time course,4,STEM,0.8,0,Unknown,never,0,1
31272,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,0.4,7,Pvt Ltd,4,0,0
12443,city_149,-1.0874804561088667,Male,1,no_enrollment,2,Unknown,-0.,4,Pvt Ltd,1,3,0
32981,city_165,0.6239088985776411,Male,1,no_enrollment,5,STEM,1.5,0,Unknown,1,0,1
1317,city_103,0.7598603893704947,Unknow,1,no_enrollment,4,STEM,0.2,4,Funded Startup,1,0,1
4601,city_28,0.9118061731978017,Male,0,no_enrollment,5,STEM,1.5,7,Pvt Ltd,2,0,1
30498,city_83,0.7838518289221739,Unknow,0,no_enrollment,3,STEM,-1.,0,Public Sector,never,0,1
7863,city_165,0.6239088985776411,Unknow,0,no_enrollment,3,STEM,0.4,0,Unknown,3,0,1
8744,city_150,-1.0155061374538275,Male,0,Full time course,2,Unknown,-1.,0,Unknown,never,0,0
14698,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,7,Pvt Ltd,1,0,1
10021,city_16,0.6798889241982279,Female,1,no_enrollment,3,STEM,-0.,8,Pvt Ltd,1,0,1
15253,city_16,0.6798889241982279,Male,1,no_enrollment,5,STEM,1.5,3,Funded Startup,3,1,1
18108,city_114,0.8078432684738539,Male,1,no_enrollment,2,Unknown,-0.,8,Pvt Ltd,>4,0,1
31410,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,4,Pvt Ltd,>4,0,1
30532,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,0.8,5,Pvt Ltd,1,0,1
31733,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,1.5,3,Unknown,>4,0,1
28833,city_21,-1.607294979728601,Male,1,Full time course,3,STEM,-1.,3,Pvt Ltd,1,0,0
8708,city_74,-1.9671665730038015,Male,1,Part time course,4,STEM,-1.,3,Pvt Ltd,1,0,0
10050,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,-0.,8,Pvt Ltd,>4,0,1
21685,city_114,0.8078432684738539,Unknow,0,no_enrollment,5,STEM,0.7,8,Pvt Ltd,1,0,1
18529,city_143,-0.6796259837303069,Male,1,Full time course,3,STEM,-0.,0,Pvt Ltd,4,0,0
1850,city_103,0.7598603893704947,Unknow,0,no_enrollment,3,STEM,-1.,4,Public Sector,1,0,1
22639,city_176,-0.48769446731686655,Male,1,no_enrollment,3,STEM,-0.,0,Pvt Ltd,1,0,0
5967,city_21,-1.607294979728601,Male,1,no_enrollment,4,STEM,-0.,0,Pvt Ltd,>4,0,0
20977,city_16,0.6798889241982279,Male,1,no_enrollment,2,Unknown,1.5,4,Pvt Ltd,1,1,1
5391,city_155,-2.151100942900014,Male,0,Full time course,3,STEM,-1.,0,Unknown,,0,0
4398,city_155,-2.151100942900014,Male,1,no_enrollment,3,STEM,-0.,3,Unknown,3,2,0
18383,city_21,-1.607294979728601,Male,0,no_enrollment,4,STEM,-0.,4,Pvt Ltd,1,0,0
17336,city_21,-1.607294979728601,Male,0,Full time course,2,Unknown,-1.,0,Unknown,never,0,0
7470,city_167,0.7678575358877204,Male,1,Full time course,3,STEM,-0.,4,Pvt Ltd,1,0,1
24781,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,1.5,3,Pvt Ltd,2,0,1
24202,city_90,-1.0155061374538275,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,1,0,0
20650,city_73,-0.5676659324891333,Unknow,1,Part time course,3,STEM,-0.,0,Pvt Ltd,3,0,0
5377,city_114,0.8078432684738539,Male,0,no_enrollment,2,Unknown,-0.,0,Pvt Ltd,never,0,1
31693,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,6,Pvt Ltd,>4,0,1
28619,city_103,0.7598603893704947,Male,0,no_enrollment,3,No Major,-1.,0,Unknown,never,-1,1
15432,city_114,0.8078432684738539,Unknow,0,no_enrollment,2,Unknown,0.1,4,Pvt Ltd,>4,0,1
22999,city_21,-1.607294979728601,Female,1,no_enrollment,3,STEM,-1.,4,Pvt Ltd,1,0,0
8377,city_16,0.6798889241982279,Male,1,no_enrollment,3,STEM,0.4,4,Pvt Ltd,2,0,1
9302,city_149,-1.0874804561088667,Unknow,1,no_enrollment,3,STEM,-0.,0,Unknown,2,1,0
16158,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,3,Funded Startup,3,0,1
29575,city_11,-2.199083822003374,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,3,0,0
16573,city_28,0.9118061731978017,Male,1,Unknown,3,No Major,-0.,0,Pvt Ltd,2,1,1
30736,city_160,0.7598603893704947,Male,0,Full time course,2,Unknown,-1.,0,Unknown,1,0,1
20612,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,4,Pvt Ltd,never,1,0
11976,city_136,0.575926019474281,Male,1,no_enrollment,4,STEM,0.5,0,Unknown,1,0,0
28302,city_16,0.6798889241982279,Male,1,no_enrollment,3,STEM,-0.,1,Pvt Ltd,1,1,1
9462,city_21,-1.607294979728601,Unknow,0,Part time course,0,Unknown,-1.,0,Unknown,never,2,0
14512,city_11,-2.199083822003374,Male,1,Full time course,3,STEM,-0.,3,Unknown,1,1,0
8401,city_136,0.575926019474281,Male,1,no_enrollment,4,STEM,-0.,3,Public Sector,2,0,0
19780,city_105,-0.24778007180006614,Female,1,no_enrollment,4,Unknown,-0.,5,Unknown,1,0,0
2594,city_21,-1.607294979728601,Unknow,0,Full time course,2,Unknown,-1.,0,Pvt Ltd,never,0,0
1466,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,1.5,8,Pvt Ltd,>4,0,1
17205,city_114,0.8078432684738539,Female,1,no_enrollment,4,STEM,1.5,0,Unknown,never,0,1
12990,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,0.8,4,Pvt Ltd,>4,0,1
4234,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.2,8,Pvt Ltd,1,0,1
18171,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,0.2,0,Unknown,2,0,1
15457,city_114,0.8078432684738539,Male,1,no_enrollment,3,STEM,1.0,3,Pvt Ltd,>4,0,1
23319,city_21,-1.607294979728601,Male,1,Full time course,3,STEM,-0.,0,Unknown,never,0,0
10598,city_136,0.575926019474281,Male,1,no_enrollment,5,STEM,0.5,1,Early Stage Startup,1,0,0
7788,city_21,-1.607294979728601,Male,1,no_enrollment,2,Unknown,-0.,0,Unknown,never,0,0
32021,city_103,0.7598603893704947,Male,1,no_enrollment,4,Humanities,1.5,4,Pvt Ltd,2,0,1
23969,city_30,-1.0155061374538275,Male,1,no_enrollment,0,Unknown,1.5,1,Pvt Ltd,,0,0
13037,city_97,0.7998461219566281,Unknow,1,no_enrollment,2,Unknown,-0.,0,Unknown,1,0,1
30196,city_114,0.8078432684738539,Male,1,no_enrollment,3,Humanities,-1.,1,Early Stage Startup,1,0,1
19504,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-0.,0,Pvt Ltd,1,0,0
16336,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,8,Pvt Ltd,>4,3,0
6048,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,0.7,6,Pvt Ltd,2,0,1
6827,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-1.,4,Pvt Ltd,never,0,0
9268,city_160,0.7598603893704947,Male,1,no_enrollment,0,Unknown,1.5,1,Pvt Ltd,2,0,1
11169,city_21,-1.607294979728601,Female,1,no_enrollment,3,STEM,-0.,8,Pvt Ltd,1,0,0
31131,city_103,0.7598603893704947,Female,0,Part time course,3,Other,-1.,7,Other,1,0,1
12361,city_21,-1.607294979728601,Unknow,0,Full time course,3,STEM,-1.,1,Early Stage Startup,,0,0
15165,city_160,0.7598603893704947,Unknow,0,Part time course,3,STEM,1.5,0,Unknown,,0,1
27773,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,1.5,3,Pvt Ltd,>4,2,1
15266,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,7,Pvt Ltd,1,0,1
26289,city_89,0.7998461219566281,Female,1,no_enrollment,3,Humanities,-1.,1,Pvt Ltd,2,0,1
32553,city_57,0.32801447744025397,Unknow,0,no_enrollment,4,STEM,0.2,0,Pvt Ltd,never,0,0
33062,city_98,0.9917776383700684,Male,1,no_enrollment,3,STEM,-0.,1,Early Stage Startup,1,1,1
8818,city_103,0.7598603893704947,Unknow,1,no_enrollment,1,Unknown,-0.,4,Pvt Ltd,1,0,1
15380,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,5,Pvt Ltd,4,0,0
30120,city_11,-2.199083822003374,Male,1,no_enrollment,3,STEM,-0.,4,Pvt Ltd,never,0,0
24317,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,2,0,0
412,city_103,0.7598603893704947,Male,0,no_enrollment,3,STEM,1.0,1,Pvt Ltd,2,0,1
30607,city_149,-1.0874804561088667,Male,1,Full time course,3,STEM,-0.,6,Pvt Ltd,2,0,0
8513,city_16,0.6798889241982279,Male,1,Full time course,4,STEM,-0.,0,Unknown,1,0,1
8596,city_41,0.016125763268414313,Unknow,1,Full time course,2,Unknown,-0.,4,Pvt Ltd,2,1,0
14539,city_69,0.24804301226798714,Male,1,no_enrollment,3,STEM,-0.,1,Funded Startup,1,0,0
20456,city_21,-1.607294979728601,Unknow,1,Full time course,3,STEM,-0.,8,Pvt Ltd,never,2,0
15221,city_114,0.8078432684738539,Male,1,no_enrollment,0,Unknown,-1.,0,Unknown,never,0,1
28968,city_150,-1.0155061374538275,Male,1,Part time course,2,Unknown,-1.,3,NGO,2,0,0
21648,city_61,0.703880363749907,Male,1,no_enrollment,4,STEM,1.4,6,Pvt Ltd,never,0,1
3210,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.0,0,Pvt Ltd,3,0,1
22118,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,-0.,0,Unknown,2,0,1
5605,city_76,-1.0155061374538275,Other,1,no_enrollment,3,STEM,-0.,8,Public Sector,3,2,0
30930,city_67,0.24004586575076048,Male,1,no_enrollment,3,STEM,1.5,1,Pvt Ltd,never,3,0
28718,city_104,0.7918489754394014,Male,1,no_enrollment,3,STEM,1.5,0,Unknown,1,0,1
8141,city_103,0.7598603893704947,Unknow,0,no_enrollment,3,STEM,1.5,0,Unknown,>4,0,1
3486,city_165,0.6239088985776411,Male,1,no_enrollment,5,STEM,0.5,4,Pvt Ltd,>4,0,1
8805,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,1.5,3,Funded Startup,2,0,1
6602,city_162,-0.4637030277651865,Unknow,1,Full time course,3,STEM,-0.,0,Pvt Ltd,1,0,0
14916,city_64,-1.2714148260050813,Male,1,no_enrollment,3,STEM,0.7,0,Funded Startup,1,0,0
21636,city_36,0.5439374334053744,Unknow,0,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,0,0
